Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-06-05T14:30:00,0,0,0%,0
2026-06-05T15:30:00,0,0,0%,0
2026-06-05T16:30:00,0,0,0%,0
2026-06-05T17:30:00,0,0,0%,0
2026-06-05T18:30:00,0,0,0%,0
2026-06-05T19:30:00,0,0,0%,0
2026-06-05T20:30:00,0,0,0%,0
2026-06-05T21:30:00,0,0,0%,0
2026-06-05T22:30:00,0,0,0%,0
2026-06-05T23:30:00,0,0,0%,0
2026-06-06T00:30:00,0,0,0%,0
2026-06-06T01:30:00,0,0,0%,0
2026-06-06T02:30:00,0,0,0%,0
2026-06-06T03:30:00,0,0,0%,0
2026-06-06T04:30:00,0,0,0%,0
2026-06-06T05:30:00,0,0,0%,0
2026-06-06T06:30:00,0,0,0%,0
2026-06-06T07:30:00,0,0,0%,0
2026-06-06T08:30:00,0,0,0%,0
2026-06-06T09:30:00,0,0,0%,0
2026-06-06T10:30:00,0,0,0%,0
2026-06-06T11:30:00,0,0,0%,0
2026-06-06T12:30:00,0,0,0%,0
